City_ID,City,Country,Max Temp,Current Description ,Lat,Lng,Hotel Name
0,Katsuura,JP,75.24,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
6,Barcelos,PT,81.68,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
8,Devils Lake,US,84.31,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
9,Georgetown,MY,84.13,moderate rain,5.4112,100.3354,Cititel Penang
11,Katubao,PH,77.16,overcast clouds,5.8892,124.8294,IML Ecopark
12,Milkovo,RU,75.81,overcast clouds,54.7167,158.6167,"Hotel ""Geologist"""
19,Lorengau,PG,81.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
25,Cabatuan,PH,76.1,overcast clouds,10.8794,122.486,MVC Transient Room
27,Hithadhoo,MV,82.24,scattered clouds,-0.6,73.0833,Scoop Guest House
33,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
34,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,Naze,JP,81.52,clear sky,28.3667,129.4833,Shishime Hotel
42,Mogadishu,SO,75.56,light rain,2.0371,45.3438,Hotel Juba
45,Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
47,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
53,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Hami,CN,81.66,overcast clouds,42.8,93.45,Laoyutang Resort
56,Half Moon Bay,US,80.89,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
58,Bethel,US,85.46,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
66,Kapaa,US,80.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Hilo,US,82.26,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Guerrero Negro,MX,78.03,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
74,Presidencia Roque Saenz Pena,AR,85.75,broken clouds,-26.7852,-60.4388,Hotel Gualok
76,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
78,Boulsa,BF,84.72,light rain,12.6675,-0.5758,Auberge Relwende
81,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
85,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
86,Butaritari,KI,81.52,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
89,Korla,CN,79.09,broken clouds,41.7597,86.1469,Gulisitan Hotel
90,Muros,ES,78.15,clear sky,42.7762,-9.0603,Apartment Av. Castelao
92,Jamestown,US,80.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
93,Ouargaye,BF,84.27,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
94,Mecca,SA,89.15,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
99,Tezu,IN,76.77,scattered clouds,27.9167,96.1667,Circuit House
108,Hidrolandia,BR,80.64,overcast clouds,-4.4081,-40.4378,Pousada Rei De Carneiro
113,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Pirineos
117,Havelock,US,88.05,few clouds,34.8791,-76.9013,Sherwood Motel
120,Butler,US,83.14,clear sky,39.4501,-84.5666,The Lodge Activity Center
123,Blairmore,CA,75.07,scattered clouds,49.6,-114.4353,Highwood Motel
124,Ormara,PK,82.58,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
127,Kokopo,PG,76.1,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
135,Itarema,BR,78.66,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
138,Surab,PK,75.02,clear sky,28.4914,66.2585,Bismillah Hotel
141,Fukue,JP,78.13,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
145,La Cruz,MX,89.85,scattered clouds,23.9167,-106.9,Jesús angel
151,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,Ikathouse
152,Axim,GH,76.24,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
154,Bandarbeyla,SO,77.65,scattered clouds,9.4942,50.8122,JABIR HOTEL
155,Camocim,BR,80.29,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
156,Itoman,JP,82.78,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
158,Seoul,KR,76.39,mist,37.5683,126.9778,Lotte Hotel Seoul
161,Mawlaik,MM,76.21,few clouds,23.6333,94.4167,AKZ Guest House
164,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
166,Sinnamary,GF,76.23,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
168,Pacific Grove,US,82.24,broken clouds,36.6177,-121.9166,Lovers Point Inn
173,Eyl,SO,77.27,few clouds,7.9803,49.8164,Amiin Hotel
174,Arcata,US,80.67,broken clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
178,Dingle,PH,76.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
182,Ixtapa,MX,88.83,scattered clouds,20.7,-105.2,hotel la terminal
188,Hambantota,LK,80.53,overcast clouds,6.1241,81.1185,Bungalow 63
192,Greece,US,75.67,broken clouds,43.2098,-77.6931,"Homewood Suites by Hilton Rochester/Greece, NY"
197,Palmer,US,85.06,few clouds,42.1584,-72.3287,Wedgewood Motel
198,Beidao,CN,75.04,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
201,Sungai Besar,MY,77.61,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
206,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
207,San Quintin,MX,75.13,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
212,Anloga,GH,77.79,overcast clouds,5.7947,0.8973,Pin Drop Hotel
