City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
0,Katsuura,JP,35.1333,140.3,75.24,92,100,14.27,light rain
1,Rikitea,PF,-23.1203,-134.9692,74.71,78,59,13.94,light rain
2,Ushuaia,AR,-54.8,-68.3,29.86,74,75,18.41,light snow
3,Tavda,RU,58.0425,65.2726,65.35,86,20,4.52,few clouds
4,Carnarvon,AU,-24.8667,113.6333,66.27,100,75,0.0,broken clouds
5,Kathmandu,NP,27.7167,85.3167,70.02,94,75,2.3,broken clouds
6,Barcelos,PT,41.5388,-8.6151,81.68,56,0,1.95,clear sky
7,Safranbolu,TR,41.2508,32.6942,64.83,97,85,2.08,light rain
8,Devils Lake,US,48.1128,-98.8651,84.31,58,0,18.41,clear sky
9,Georgetown,MY,5.4112,100.3354,84.13,92,20,3.44,moderate rain
10,Tasiilaq,GL,65.6145,-37.6368,46.56,80,99,2.17,overcast clouds
11,Katubao,PH,5.8892,124.8294,77.16,91,99,10.18,overcast clouds
12,Milkovo,RU,54.7167,158.6167,75.81,74,100,1.57,overcast clouds
13,Pangnirtung,CA,66.1451,-65.7125,48.47,69,74,4.09,broken clouds
14,Aklavik,CA,68.2191,-135.0107,59.0,88,100,10.36,haze
15,Hinton,CA,53.4001,-117.5857,69.66,33,100,8.21,overcast clouds
16,Provideniya,RU,64.3833,-173.3,49.05,91,100,8.99,overcast clouds
17,Busselton,AU,-33.65,115.3333,56.73,56,95,19.01,overcast clouds
18,Kaitangata,NZ,-46.2817,169.8464,35.47,83,57,4.52,broken clouds
19,Lorengau,PG,-2.0226,147.2712,81.61,80,95,11.61,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,70.32,68,75,8.05,smoke
21,Lasa,IT,46.6166,10.7002,70.68,75,74,6.29,broken clouds
22,Albany,US,42.6001,-73.9662,81.52,40,2,4.7,clear sky
23,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,20,17.27,few clouds
24,Saint-Philippe,RE,-21.3585,55.7679,67.59,66,63,14.43,broken clouds
25,Cabatuan,PH,10.8794,122.486,76.1,91,100,9.6,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,57.79,80,1,8.63,clear sky
27,Hithadhoo,MV,-0.6,73.0833,82.24,76,36,6.22,scattered clouds
28,Kaputa,ZM,-8.4689,29.6619,65.5,60,11,1.14,few clouds
29,Oranjemund,NA,-28.55,16.4333,56.97,81,0,22.35,clear sky
30,Geraldton,AU,-28.7667,114.6,64.81,68,40,17.27,light intensity drizzle
31,Ribeira Grande,PT,38.5167,-28.7,68.4,73,40,14.97,scattered clouds
32,New Norfolk,AU,-42.7826,147.0587,44.1,87,13,2.51,few clouds
33,Avarua,CK,-21.2078,-159.775,75.25,60,79,11.5,broken clouds
34,Vaini,TO,-21.2,-175.2,75.36,78,40,9.22,scattered clouds
35,Naze,JP,28.3667,129.4833,81.52,91,10,9.28,clear sky
36,East London,ZA,-33.0153,27.9116,69.22,31,0,9.62,clear sky
37,Souillac,MU,-20.5167,57.5167,68.38,73,40,18.41,scattered clouds
38,Vostok,RU,46.4856,135.8833,62.37,88,88,2.8,overcast clouds
39,College,US,64.8569,-147.8028,69.75,60,75,6.91,smoke
40,Northam,GB,51.0333,-4.2167,65.39,77,0,6.71,clear sky
41,Mahebourg,MU,-20.4081,57.7,68.29,73,40,18.41,scattered clouds
42,Mogadishu,SO,2.0371,45.3438,75.56,81,33,20.2,light rain
43,Bredasdorp,ZA,-34.5322,20.0403,52.27,75,0,6.73,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,32.11,64,20,6.91,few clouds
45,Kavaratti,IN,10.5669,72.642,81.19,82,96,21.09,overcast clouds
46,Cehal,RO,47.3833,22.6,63.21,62,27,3.58,scattered clouds
47,Atuona,PF,-9.8,-139.0333,77.95,77,31,19.3,scattered clouds
48,Gore,NZ,-46.1028,168.9436,32.09,90,30,1.54,scattered clouds
49,Bluff,NZ,-46.6,168.3333,34.81,74,49,3.98,scattered clouds
50,Qaanaaq,GL,77.484,-69.3632,44.46,73,53,2.3,broken clouds
51,Port-Gentil,GA,-0.7193,8.7815,73.36,88,100,9.22,overcast clouds
52,Ponta Do Sol,PT,32.6667,-17.1,74.03,76,4,1.95,clear sky
53,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,83,7.0,broken clouds
54,Port Alfred,ZA,-33.5906,26.891,68.81,35,0,12.62,clear sky
55,Hami,CN,42.8,93.45,81.66,17,91,15.9,overcast clouds
56,Half Moon Bay,US,37.4636,-122.4286,80.89,69,100,16.11,overcast clouds
57,Pangody,RU,65.85,74.4859,53.31,84,0,6.13,clear sky
58,Bethel,US,41.3712,-73.414,85.46,39,0,10.36,clear sky
59,Repatriacion,PY,-25.5333,-55.95,72.59,60,8,7.65,clear sky
60,Mataura,NZ,-46.1927,168.8643,34.48,90,49,1.95,scattered clouds
61,Cherskiy,RU,68.75,161.3,39.0,79,100,13.33,overcast clouds
62,Lagoa,PT,39.05,-27.9833,66.72,79,67,10.27,broken clouds
63,Tokur,RU,53.1333,132.9,60.91,98,100,1.79,light rain
64,Longyearbyen,SJ,78.2186,15.6401,42.64,75,75,12.66,broken clouds
65,Ken Caryl,US,39.5773,-105.1169,99.91,14,3,7.0,clear sky
66,Kapaa,US,22.0752,-159.319,80.92,83,100,13.8,moderate rain
67,Hilo,US,19.7297,-155.09,82.26,75,100,5.75,overcast clouds
68,Guerrero Negro,MX,27.9769,-114.0611,78.03,56,14,18.3,few clouds
69,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,0,18.41,clear sky
70,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,8.05,mist
71,Kodiak,US,57.79,-152.4072,53.11,87,100,14.97,overcast clouds
72,Tongliao,CN,43.6125,122.2653,70.57,75,62,9.78,broken clouds
73,Manaure,CO,11.7751,-72.4445,90.05,54,37,17.2,scattered clouds
74,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,85.75,28,52,9.71,broken clouds
75,San Patricio,US,28.017,-97.5169,101.12,34,15,15.57,few clouds
76,Makakilo City,US,21.3469,-158.0858,82.72,67,75,17.27,broken clouds
77,Chokurdakh,RU,70.6333,147.9167,52.88,45,34,6.33,scattered clouds
78,Boulsa,BF,12.6675,-0.5758,84.72,57,100,5.44,light rain
79,Iqaluit,CA,63.7506,-68.5145,40.73,86,40,10.36,scattered clouds
80,Moron,AR,-34.6534,-58.6198,64.99,90,98,8.16,overcast clouds
81,Gat,IL,31.61,34.7642,78.4,75,1,2.37,clear sky
82,Hobart,AU,-42.8794,147.3294,44.46,90,75,5.75,broken clouds
83,Karatuzskoye,RU,53.6072,92.8667,52.38,93,8,1.34,clear sky
84,Ust-Tsilma,RU,65.441,52.1498,57.34,66,77,2.48,broken clouds
85,Bathsheba,BB,13.2167,-59.5167,86.61,85,75,20.71,broken clouds
86,Butaritari,KI,3.0707,172.7902,81.52,79,44,12.55,scattered clouds
87,Dikson,RU,73.5069,80.5464,32.05,94,91,6.49,overcast clouds
88,Buraydah,SA,26.326,43.975,93.65,10,95,9.42,overcast clouds
89,Korla,CN,41.7597,86.1469,79.09,23,71,9.33,broken clouds
90,Muros,ES,42.7762,-9.0603,78.15,60,0,4.18,clear sky
91,Saint-Francois,FR,46.4154,3.9054,69.24,60,0,4.61,clear sky
92,Jamestown,US,42.097,-79.2353,80.53,50,0,12.66,clear sky
93,Ouargaye,BF,11.5033,0.0572,84.27,58,100,13.22,overcast clouds
94,Mecca,SA,21.4267,39.8261,89.15,20,89,2.59,overcast clouds
95,Uvira,CD,-3.4067,29.1458,73.11,68,38,0.67,scattered clouds
96,Alyangula,AU,-13.8483,136.4192,69.22,62,8,16.4,clear sky
97,Nikolskoye,RU,59.7035,30.7861,61.81,97,82,4.18,broken clouds
98,Zhigansk,RU,66.7697,123.3711,51.51,73,100,7.74,overcast clouds
99,Tezu,IN,27.9167,96.1667,76.77,90,43,3.36,scattered clouds
100,Clyde River,CA,70.4692,-68.5914,46.63,66,20,5.75,few clouds
101,Simao,CN,22.7886,100.9748,64.0,99,49,1.88,scattered clouds
102,Pisco,PE,-13.7,-76.2167,66.25,72,0,8.05,clear sky
103,Ulaanbaatar,MN,47.9077,106.8832,50.13,87,40,2.24,scattered clouds
104,Karangampel,ID,-6.4622,108.4519,74.62,75,5,5.48,clear sky
105,Derzhavinsk,KZ,51.1,66.3167,64.4,70,34,8.23,scattered clouds
106,Beni,CD,0.5,29.4667,65.3,68,37,1.88,scattered clouds
107,Mount Gambier,AU,-37.8333,140.7667,33.71,100,100,8.05,overcast clouds
108,Hidrolandia,BR,-4.4081,-40.4378,80.64,46,100,4.92,overcast clouds
109,Cidreira,BR,-30.1811,-50.2056,62.53,90,36,12.48,scattered clouds
110,Faya,SA,18.3851,42.4509,68.11,51,100,7.31,light rain
111,Lebu,CL,-37.6167,-73.65,48.07,91,100,10.07,overcast clouds
112,San Isidro,PE,-12.1167,-77.05,60.39,88,100,13.8,overcast clouds
113,San Cristobal,VE,7.7669,-72.225,84.38,56,35,5.77,scattered clouds
114,Tuatapere,NZ,-46.1333,167.6833,34.45,84,26,3.51,scattered clouds
115,Khatanga,RU,71.9667,102.5,46.38,93,100,0.4,overcast clouds
116,Zakamensk,RU,50.3741,103.2863,47.01,95,87,0.65,overcast clouds
117,Havelock,US,34.8791,-76.9013,88.05,84,20,9.22,few clouds
118,Lowestoft,GB,52.4752,1.7516,61.23,82,36,6.13,scattered clouds
119,Poum,NC,-20.2333,164.0167,77.7,85,91,20.87,light rain
120,Butler,US,39.4501,-84.5666,83.14,69,0,8.05,clear sky
121,Feira De Santana,BR,-12.2667,-38.9667,69.03,85,16,7.94,few clouds
122,Sao Mateus,BR,-18.7161,-39.8589,69.62,80,0,4.76,clear sky
123,Blairmore,CA,49.6,-114.4353,75.07,29,28,17.25,scattered clouds
124,Ormara,PK,25.2088,64.6357,82.58,85,68,7.05,broken clouds
125,Cape Town,ZA,-33.9258,18.4232,59.38,86,20,13.8,few clouds
